V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
R_yqp7267a7b65G8N,Default Response Set,Anonymous,,,31.205.5.101,0,2019-05-03 14:53:33,2019-05-03 14:57:12,1,1,1,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,最后收尾的气声在柔和度上很有影响,是,是,22,男,右撇子,普通话，台湾话,无,是,是,否,经常,从未去过,1,54.973297119141,-1.6139984130859,-1,
R_2DTuAYT4n8LFKOo,Default Response Set,Anonymous,,,27.186.19.70,0,2019-05-03 19:13:21,2019-05-03 19:16:27,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第一个:,,,声音的大小，还有外在环境,否,是,27,女,右撇子,汉语,无,是,否,否,偶尔,从未去过,1,38.851104736328,115.49029541016,-1,
R_3DtBXUQoGMzOtNI,Default Response Set,Anonymous,,,137.226.68.152,0,2019-05-06 12:55:04,2019-05-06 12:57:36,1,1,1,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,无法提供具体语境，对于母语为中文的人来说依然有些难以判断,是,是,27,女,右撇子,中文,初级,是,否,不确定,经常,从未去过,1,50.77409362793,6.0847015380859,-1,
R_WBufcRIrlUbNr0d,Default Response Set,Anonymous,,,193.36.238.131,0,2019-05-08 10:18:39,2019-05-08 10:21:49,1,1,1,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,发音长短和响度,是,否,22,女,左撇子,中文,无,是,否,否,偶尔,从未去过,1,37.751007080078,-97.821998596191,-1,
R_2dsgjd40qUjlBXY,Default Response Set,Anonymous,,,141.136.85.233,0,2019-05-08 11:14:40,2019-05-08 11:16:30,1,1,1,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,听到的先后顺序,是,否,24,女,右撇子,汉语,无,是,是,是,很少,从未去过,1,40.181701660156,44.509902954102,-1,
R_2yazcjaAjiU0OX0,Default Response Set,Anonymous,,,109.246.12.206,0,2019-05-02 16:27:03,2019-05-02 16:27:43,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2962D4qffh7bv1M,Default Response Set,Anonymous,,,223.104.6.59,0,2019-05-14 08:50:07,2019-05-14 08:52:10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,音频，音量 / ,是,否,24,女,右撇子,汉语,无,是,否,否,偶尔,从未去过,1,24.479797363281,118.08190917969,-1,
R_3MiKvdn5phRRLjW,Default Response Set,Anonymous,,,140.243.59.44,0,2019-05-14 08:51:08,2019-05-14 08:53:43,1,1,1,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,,,可能所带感情色彩不同吧,是,否,21,女,右撇子,汉语,初级,是,否,否,经常,从未去过,1,24.98779296875,118.49829101562,-1,
R_bmfkkTjglIEx84h,Default Response Set,Anonymous,,,112.48.20.1,0,2019-05-14 20:25:58,2019-05-14 20:28:30,1,1,1,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,声音尖锐程度吧,是,否,20,女,右撇子,汉语,无,不确定,否,否,偶尔,从未去过,1,24.479797363281,118.08190917969,-1,
R_3kcRMmZUppAbx6G,Default Response Set,Anonymous,,,211.97.129.237,0,2019-05-14 20:34:40,2019-05-14 20:37:06,1,1,1,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,太短,是,是,20,男,右撇子,中文,无,是,是,否,偶尔,从未去过,1,24.479797363281,118.08190917969,-1,
R_2pSl7l3yCiyCDX4,Default Response Set,Anonymous,,,27.157.77.162,0,2019-05-14 22:04:51,2019-05-14 22:07:25,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,半天点不上 都不知道哪个是第一个哪个是第二个,否,否,21,女,右撇子,中文,初级,是,否,否,偶尔,从未去过,1,24.513305664062,117.65560913086,-1,
R_1Legr6QfgOqHgDq,Default Response Set,Anonymous,,,183.250.28.87,0,2019-05-14 22:07:22,2019-05-14 22:10:04,1,1,1,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,发音时开口的大小，我感觉开口小的音听起来更柔和。,是,否,23,女,右撇子,中文,初级,是,否,否,经常,从未去过,1,24.479797363281,118.08190917969,-1,
R_9S9LeO0YWiv87T3,Default Response Set,Anonymous,,,117.27.50.186,0,2019-05-14 22:34:46,2019-05-14 22:36:59,1,1,1,,,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,感觉,是,否,22,女,右撇子,汉语,无,不确定,否,否,很少,从未去过,1,24.513305664062,117.65560913086,-1,
R_2q4qEcqwSlhekH1,Default Response Set,Anonymous,,,121.208.78.220,0,2019-05-15 01:21:52,2019-05-15 01:23:59,1,1,1,,,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,音量问题,否,否,26,女,右撇子,汉语,初级,是,是,是,经常,从未去过,1,-19.313705444336,146.69189453125,-1,
R_3JacFSmr0EcSGga,Default Response Set,Anonymous,,,202.105.147.250,0,2019-05-15 02:34:30,2019-05-15 02:36:58,1,1,1,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,无,是,是,26,女,右撇子,韩语 汉语,初级,是,是,是,偶尔,短期访问（一次或多次）,1,22.533294677734,114.13330078125,-1,
R_2OTM4NkNKPHzb2x,Default Response Set,Anonymous,,,117.136.7.241,0,2019-05-15 02:43:35,2019-05-15 02:46:38,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二个:,第一个:,口型,是,是,27,女,右撇子,朝鲜语,中级,是,是,是,偶尔,短期访问（一次或多次）,1,45.75,126.64999389648,-1,
R_1C3XJNgVObEca2h,Default Response Set,Anonymous,,,117.111.13.235,0,2019-05-15 02:34:38,2019-05-15 02:47:33,1,1,1,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后舌更用力发出的音，听着更温柔可爱一些，可能因为更接近小朋友发音？,是,是,28,女,右撇子,朝鲜语/汉语,中级,是,是,是,偶尔,短期访问（一次或多次）,1,37.495407104492,127.06210327148,-1,
R_BPLrHm9ZLEZVNOV,Default Response Set,Anonymous,,,221.13.63.182,0,2019-05-15 04:43:01,2019-05-15 04:44:44,1,1,1,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,？,是,否,20,男,右撇子,中文,无,是,否,否,从不,从未去过,1,26.583297729492,106.71670532227,-1,
R_3j7ee0DFqxGZxly,Default Response Set,Anonymous,,,211.97.129.63,0,2019-05-15 06:39:06,2019-05-15 06:41:24,1,1,1,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,有点吓人…,否,是,20,女,右撇子,中文,无,是,否,否,很少,从未去过,1,24.479797363281,118.08190917969,-1,
R_5d3YRROyExsoXrb,Default Response Set,Anonymous,,,98.14.183.222,0,2019-05-08 07:13:15,2019-05-08 07:13:25,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_pcM5DzUe9SbhiXD,Default Response Set,Anonymous,,,189.156.182.63,0,2019-05-08 08:38:52,2019-05-08 08:39:27,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2Tt608g8ADgMjdV,Default Response Set,Anonymous,,,213.205.194.3,0,2019-05-08 10:28:05,2019-05-08 10:29:18,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,第二个:,,,,,,,,,,,,,,,,,,,,,,-1,
R_6rgYmA4KWhAUUM1,Default Response Set,Anonymous,,,211.97.129.81,0,2019-05-16 01:35:22,2019-05-16 01:35:35,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3fP0uZoCNcXHmyr,Default Response Set,Anonymous,,,140.243.45.102,0,2019-05-15 09:32:17,2019-05-15 09:34:14,0,1,1,,,,,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_24w7Y2VrQ6Mi5V0,Default Response Set,Anonymous,,,120.35.183.200,0,2019-05-15 09:31:10,2019-05-15 09:31:23,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3jSWnB8MIdK9B95,Default Response Set,Anonymous,,,140.243.98.158,0,2019-05-15 06:53:56,2019-05-15 06:56:07,0,1,1,第一个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,时间太短,是,是,23,女,右撇子,汉语,无,不确定,否,否,很少,从未去过,,,,-1,
R_2YccwGRel3Eu81i,Default Response Set,Anonymous,,,116.136.19.152,0,2019-05-15 05:55:30,2019-05-15 05:55:42,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2E0POeC9ldIWKhr,Default Response Set,Anonymous,,,140.243.205.155,0,2019-05-15 04:44:15,2019-05-15 04:44:31,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1j803fFBr5gsT0Q,Default Response Set,Anonymous,,,222.169.158.231,0,2019-05-15 03:07:59,2019-05-15 03:08:25,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_UGT399k4mvuf9Kh,Default Response Set,Anonymous,,,61.148.13.2,0,2019-05-15 02:58:57,2019-05-15 02:59:08,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3EteZv8CTN2D7rd,Default Response Set,Anonymous,,,140.237.65.243,0,2019-05-15 02:17:07,2019-05-15 02:18:55,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,-1,
R_1rlDDWGOow9mfHE,Default Response Set,Anonymous,,,140.243.153.95,0,2019-05-15 02:23:07,2019-05-15 02:23:17,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2sRec5BrMu6md5L,Default Response Set,Anonymous,,,59.59.15.231,0,2019-05-15 02:24:37,2019-05-15 02:24:49,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_UEeUOuzDeGLRy7v,Default Response Set,Anonymous,,,121.208.78.220,0,2019-05-15 01:24:04,2019-05-15 03:08:21,0,1,1,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1oEUVOacZIt84V5,Default Response Set,Anonymous,,,112.5.203.86,0,2019-05-14 22:09:35,2019-05-14 22:10:08,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1OWiGRBNq4OTTfD,Default Response Set,Anonymous,,,112.48.20.17,0,2019-05-15 00:46:26,2019-05-15 00:47:21,0,1,1,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_O44uNeKcepksDx7,Default Response Set,Anonymous,,,211.97.128.72,0,2019-05-14 22:48:38,2019-05-14 22:49:48,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,,,,,,,,,,,,,,,,,,-1,
R_2bIEAgZSF6laaoC,Default Response Set,Anonymous,,,112.48.20.49,0,2019-05-15 01:26:19,2019-05-15 01:26:24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_O3EveLjNJaLdn45,Default Response Set,Anonymous,,,223.104.6.112,0,2019-05-14 22:08:07,2019-05-14 22:08:31,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2dScwxY9RO7J5uO,Default Response Set,Anonymous,,,140.243.170.76,0,2019-05-14 21:08:26,2019-05-14 21:09:25,0,1,1,,,,,,,,,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_Um3EH9E7AJR459f,Default Response Set,Anonymous,,,223.104.6.30,0,2019-05-14 21:20:23,2019-05-14 21:20:30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3CTxKcePHtfWpae,Default Response Set,Anonymous,,,112.5.204.45,0,2019-05-14 21:06:22,2019-05-14 21:08:15,0,1,1,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3LZPGMgKMXTUZAK,Default Response Set,Anonymous,,,31.205.252.39,0,2019-05-14 10:43:21,2019-05-14 10:44:24,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,-1,
R_1pyw9aroZej63XH,Default Response Set,Anonymous,,,104.155.204.177,0,2019-05-10 08:27:15,2019-05-10 08:27:51,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二个:,,,,,,,,,,,,,,,,,,-1,
R_1kH9bk1y8JFJ2xN,Default Response Set,Anonymous,,,89.1.208.160,0,2019-05-11 12:52:47,2019-05-11 12:57:32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6DqTZ3mNpAitQ4x,Default Response Set,Anonymous,,,223.104.6.33,0,2019-05-14 21:05:21,2019-05-14 21:08:01,0,1,1,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个音频影响了对第二个音频的判断,是,否,23,女,右撇子,中文,无,是,否,否,很少,短期访问（一次或多次）,,,,-1,
R_1dvjbeeoh5a58az,Default Response Set,Anonymous,,,117.136.75.92,0,2019-05-14 20:36:08,2019-05-14 20:36:14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2fea54zPcav4dIl,Default Response Set,Anonymous,,,112.5.203.132,0,2019-05-14 16:18:03,2019-05-14 16:18:24,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_25zNyIXVN7ZPyDx,Default Response Set,Anonymous,,,223.104.6.55,0,2019-05-14 10:43:52,2019-05-14 10:44:48,0,1,1,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1ilfJhh2f6Rxaz7,Default Response Set,Anonymous,,,223.104.6.47,0,2019-05-14 08:59:29,2019-05-14 09:02:54,0,1,1,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,字母发音,是,否,22,女,右撇子,普通话，闽南语,无,是,否,否,很少,从未去过,,,,-1,
R_1gSGYB8uBJ33Vw8,Default Response Set,Anonymous,,,124.217.188.121,0,2019-05-10 19:59:42,2019-05-10 20:01:08,0,1,1,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
